FGM,3PM,FTM
42.2,12.8,17.0
42.0,12.3,18.4
40.6,12.4,16.9
41.2,12.7,17.0
40.9,12.2,17.9
41.1,11.4,17.7
39.6,10.5,16.6
39.0,9.7,17.8
38.2,8.5,17.7
37.5,7.8,17.1
37.7,7.7,17.8
37.1,7.2,16.7
36.5,6.4,16.9
37.2,6.5,18.6
37.7,6.4,18.6
37.1,6.6,19.1
37.3,6.6,18.8
36.5,6.1,19.6
35.8,5.7,19.6
35.9,5.6,19.7
35.0,5.2,18.2
35.7,5.1,18.5
36.2,5.2,17.9
35.7,4.8,18.6
36.8,4.8,19.0
34.2,4.5,18.8
35.9,4.4,19.4
36.1,6.0,18.7
37.0,5.9,19.5
38.0,5.5,19.9
39.3,3.3,19.6
40.7,3.0,20.9
41.3,2.5,20.2
41.4,2.3,21.3
41.5,2.2,21.8
42.5,2.1,22.1
42.1,1.6,22.3
42.6,1.4,23.2
43.2,0.9,22.9
43.8,0.9,22.4
43.5,0.6,22.6
43.5,0.5,20.9
43.3,0.6,21.3
43.0,0.5,21.7
43.6,0.8,21.3
44.5,,21.3
43.6,,21.4
42.8,,20.8
42.1,,20.2
41.7,,19.3
43.1,,19.6
44.2,,19.2
43.4,,23.3
44.0,,24.3
45.7,,25.3
43.7,,25.0
45.0,,26.7
45.5,,26.5
44.3,,26.9
42.5,,25.6
42.9,,25.3
44.6,,26.1
45.9,,27.0
45.4,,27.4
44.5,,26.3
40.4,,27.4
39.0,,28.6
35.9,,27.7
35.3,,28.4
33.3,,26.5
28.1,,23.4
28.5,,25.7
29.6,,24.4
29.8,,24.5
28.2,,23.6
29.0,,22.0
27.2,,18.2
25.9,,15.9
